repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
gnap-resource-servers	draft-ietf-gnap-resource-servers.md	{'draft-ietf-gnap-resource-servers.md': 34}	{'md': 34}	34	1	md		Y	1
draft-ietf-git-github-wg-configuration	draft-ietf-git-github-wg-configuration.md	{'draft-ietf-git-github-wg-configuration.md': 26}	{'md': 26}	26	1	md		Y	1
ace-key-groupcomm	"draft-ietf-ace-key-groupcomm.md
draft-palombini-ace-key-groupcomm.md"	{'draft-ietf-ace-key-groupcomm.md': 52, 'draft-palombini-ace-key-groupcomm.md': 6}	{'md': 58}	58	2	md	"draft-ietf-ace-key-groupcomm: draft-ietf-ace-key-groupcomm
draft-palombini-ace-key-groupcomm: draft-ietf-ace-key-groupcomm"	Y	1
ace-oscore-profile	"draft-ietf-ace-oscore-profile.xml
rfc9203.xml"	{'draft-ietf-ace-oscore-profile.xml': 38, 'rfc9203.xml': 2}	{'xml': 40}	40	2	xml	"draft-ietf-ace-oscore-profile: rfc9203
rfc9203: rfc9203"	Y	1
using-github	"draft-thomson-github-bcp.md
draft-ietf-git-using-github.md
draft-thomson-git-using-github.md"	{'draft-thomson-github-bcp.md': 6, 'draft-ietf-git-using-github.md': 66, 'draft-thomson-git-using-github.md': 2}	{'md': 74}	74	3	md	"draft-thomson-github-bcp: draft-thomson-github-bcp
draft-ietf-git-using-github: rfc8874
draft-thomson-git-using-github.md: rfc8874"	N	2
mediatypes	"draft-ietf-httpapi-rest-api-mediatypes.md
draft-ietf-httpapi-yaml-mediatypes.md"	{'draft-ietf-httpapi-rest-api-mediatypes.md': 22, 'draft-ietf-httpapi-yaml-mediatypes.md': 32}	{'md': 54}	54	2	md	"draft-ietf-httpapi-rest-api-mediatypes: draft-ietf-httpapi-rest-api-mediatypes
draft-ietf-httpapi-yaml-mediatypes: draft-ietf-httpapi-yaml-mediatypes"	N	2
ratelimit-headers	draft-ietf-httpapi-ratelimit-headers.md	{'draft-ietf-httpapi-ratelimit-headers.md': 94}	{'md': 94}	94	1	md		Y	1
linkset	"draft-ietf-httpapi-linkset-03.xml
draft-ietf-httpapi-linkset-10.xml
draft-ietf-httpapi-linkset-01.xml
draft-ietf-httpapi-linkset-00.xml"	{'draft-ietf-httpapi-linkset-03.xml': 16, 'draft-ietf-httpapi-linkset-10.xml': 2, 'draft-ietf-httpapi-linkset-01.xml': 2, 'draft-ietf-httpapi-linkset-00.xml': 2}	{'xml': 22}	22	4	xml	"draft-ietf-httpapi-linkset-03: draft-ietf-httpapi-linkset
draft-ietf-httpapi-linkset-10: draft-ietf-httpapi-linkset
draft-ietf-httpapi-linkset-01: draft-ietf-httpapi-linkset
draft-ietf-httpapi-linkset-00: draft-ietf-httpapi-linkset"	Y	1
link-template	draft-ietf-httpapi-link-template.md	{'draft-ietf-httpapi-link-template.md': 6}	{'md': 6}	6	1	md		Y	1
rfc7807bis	draft-ietf-httpapi-rfc7807bis.md	{'draft-ietf-httpapi-rfc7807bis.md': 40}	{'md': 40}	40	1	md		Y	1
deprecation-header	draft-ietf-httpapi-deprecation-header.md	{'draft-ietf-httpapi-deprecation-header.md': 12}	{'md': 12}	12	1	md		Y	1
idempotency	draft-ietf-httpapi-idempotency-key-header.md	{'draft-ietf-httpapi-idempotency-key-header.md': 18}	{'md': 18}	18	1	md		Y	1
ietf-homenet-hna	"draft-ietf-homenet-front-end-naming-delegation.mkd
draft-ietf-homenet-front-end-naming-delegation.md"	{'draft-ietf-homenet-front-end-naming-delegation.mkd': 48, 'draft-ietf-homenet-front-end-naming-delegation.md': 10}	{'mkd': 48, 'md': 10}	58	2	mkd		Y	1
draft-ice-pac	draft-ietf-ice-pac.xml	{'draft-ietf-ice-pac.xml': 28}	{'xml': 28}	28	1	xml		Y	1
trickle	draft-ietf-ice-trickle.xml	{'draft-ietf-ice-trickle.xml': 6}	{'xml': 6}	6	1	xml		Y	1
rfc5245bis	draft-ietf-ice-rfc5245bis.xml	{'draft-ietf-ice-rfc5245bis.xml': 82}	{'xml': 82}	82	1	xml		Y	1
mud-reporter	draft-lear-opsawg-mud-reporter.mkd	{'draft-lear-opsawg-mud-reporter.mkd': 6}	{'mkd': 6}	6	1	mkd		Y	1
draft-ietf-jsonpath-base	"draft-ietf-jsonpath-base.md
draft-normington-jsonpath-latest.md
draft-normington-jsonpath-latest.xml"	{'draft-ietf-jsonpath-base.md': 428, 'draft-normington-jsonpath-latest.md': 2, 'draft-normington-jsonpath-latest.xml': 6}	{'md': 430, 'xml': 6}	436	3	md	"draft-ietf-jsonpath-base: draft-ietf-jsonpath-base
draft-normington-jsonpath-latest: draft-ietf-jsonpath-base"	Y	1
iregexp	"draft-bormann-jsonpath-iregexp.md
draft-ietf-jsonpath-iregexp.md"	{'draft-bormann-jsonpath-iregexp.md': 12, 'draft-ietf-jsonpath-iregexp.md': 12}	{'md': 24}	24	2	md	"draft-bormann-jsonpath-iregexp: draft-ietf-jsonpath-iregexp
draft-ietf-jsonpath-iregexp: draft-ietf-jsonpath-iregexp"	Y	1
edhoc	"draft-ietf-lake-edhoc.md
draft-ietf-lake-traces.md"	{'draft-ietf-lake-edhoc.md': 248, 'draft-ietf-lake-traces.md': 4}	{'md': 252}	252	2	md	"draft-ietf-lake-edhoc: draft-ietf-lake-edhoc
draft-ietf-lake-traces: draft-ietf-lake-traces"	N	2
documentsigning-eku	draft-ietf-lamps-documentsigning-eku.md	{'draft-ietf-lamps-documentsigning-eku.md': 30}	{'md': 30}	30	1	md		Y	1
smime	"draft-schaad-rfc5750-bis.xml
draft-ietf-lamps-rfc5751-bis.xml
draft-schaad-curdle-oid-registry.xml
draft-schaad-rfc5751-bis.xml
draft-ietf-lamps-rfc5750-bis.xml"	{'draft-schaad-rfc5750-bis.xml': 14, 'draft-ietf-lamps-rfc5751-bis.xml': 26, 'draft-schaad-curdle-oid-registry.xml': 16, 'draft-schaad-rfc5751-bis.xml': 24, 'draft-ietf-lamps-rfc5750-bis.xml': 18}	{'xml': 98}	98	5	xml	"draft-schaad-rfc5750-bis: rfc8550
draft-ietf-lamps-rfc5750-bis:  rfc8550
draft-ietf-lamps-rfc5751-bis: rfc8551
draft-schaad-rfc5751-bis: rfc8551
draft-schaad-curdle-oid-registry: rfc8411"	N	3
draft-ietf-mops-streaming-opcons	"draft-ietf-mops-streaming-opcons.md
draft-jholland-mops-taxonomy.md"	{'draft-ietf-mops-streaming-opcons.md': 184, 'draft-jholland-mops-taxonomy.md': 8}	{'md': 192}	192	2	md	"draft-ietf-mops-streaming-opcons: rfc9317
draft-jholland-mops-taxonomy: rfc9317"	Y	1
draft-ietf-masque-connect-ip	"draft-ietf-masque-connect-ip.md
draft-age-masque-connect-ip.md"	{'draft-ietf-masque-connect-ip.md': 114, 'draft-age-masque-connect-ip.md': 30}	{'md': 144}	144	2	md	"draft-ietf-masque-connect-ip: draft-ietf-masque-connect-ip
draft-age-masque-connect-ip: draft-ietf-masque-connect-ip"	Y	1
draft-ietf-masque-connect-udp	draft-ietf-masque-connect-udp.md	{'draft-ietf-masque-connect-udp.md': 132}	{'md': 132}	132	1	md		Y	1
draft-ietf-masque-h3-datagram	"draft-ietf-masque-h3-datagram.md
draft-schinazi-quic-h3-datagram.md
draft-schinazi-masque-h3-datagram.md
draft-h3-datagram.md"	{'draft-ietf-masque-h3-datagram.md': 176, 'draft-schinazi-quic-h3-datagram.md': 2, 'draft-schinazi-masque-h3-datagram.md': 14, 'draft-h3-datagram.md': 2}	{'md': 194}	194	4	md	"draft-ietf-masque-h3-datagram: rfc9297
draft-schinazi-quic-h3-datagram: rfc9297
draft-schinazi-masque-h3-datagram: rfc9297
draft-h3-datagram: rfc9297"	Y	1
mls-architecture	"draft-rescorla-mls-architecture.md
draft-ietf-mls-architecture.md
draft-omara-mls-architecture.md"	{'draft-rescorla-mls-architecture.md': 36, 'draft-ietf-mls-architecture.md': 138, 'draft-omara-mls-architecture.md': 12}	{'md': 186}	186	3	md	"draft-rescorla-mls-architecture: draft-ietf-mls-architecture
draft-ietf-mls-architecture: draft-ietf-mls-architecture
draft-omara-mls-architecture: draft-ietf-mls-architecture"	Y	1
mls-protocol	"draft-ietf-mls-protocol.md
draft-barnes-mls-protocol.md"	{'draft-ietf-mls-protocol.md': 906, 'draft-barnes-mls-protocol.md': 92}	{'md': 998}	998	2	md	"draft-ietf-mls-protocol: draft-ietf-mls-protocol
draft-barnes-mls-protocol: draft-ietf-mls-protocol"	Y	1
mls-federation	draft-ietf-mls-federation.md	{'draft-ietf-mls-federation.md': 10}	{'md': 10}	10	1	md		Y	1
